,Chequings_Amount,Duration_Months,Credit_History,Purpose_Of_Loan,Loan_Amount,Savings_Amount,Employment_Status,Installment_Rate,Personal_Status_Sex,Other_Debtor_Guarantor,Resident_Since,Property_Type,Age,Other_Installments,Housing_Payment_Type,Number_Of_Loans,Job,Number_Of_Dependents,Own_Telephone,Foreign_Worker,Credit_Risk
18,0-200,24,existing credits paid back duly till now,used car,12579,less than 100,greater than 7 years,4,female-divorced_married_or_single,none,2,unknown,44,none,for free,1,management or self-employed or officer,1,"yes, registered under the customer name",yes,2
19,no checking account,24,existing credits paid back duly till now,television,3430,500-1000,greater than 7 years,3,male-single,none,2,car or other,31,none,own,1,skilled employee,2,"yes, registered under the customer name",yes,1
20,no checking account,9,critical account or other credits existing not at this bank,new car,2134,less than 100,1-4 years,4,male-single,none,4,car or other,48,none,own,3,skilled employee,1,"yes, registered under the customer name",yes,1
21,less than 0,6,existing credits paid back duly till now,television,2647,500-1000,1-4 years,2,male-single,none,3,real estate,44,none,rent,1,skilled employee,2,none,yes,1
22,less than 0,10,critical account or other credits existing not at this bank,new car,2241,less than 100,less than 1 year,1,male-single,none,3,real estate,48,none,rent,2,unskilled,2,none,no,1
23,0-200,12,critical account or other credits existing not at this bank,used car,1804,100-500,less than 1 year,3,male-single,none,4,life insurance,44,none,own,1,skilled employee,1,none,yes,1
24,no checking account,10,critical account or other credits existing not at this bank,furniture,2069,unknown or no savings account,1-4 years,2,male-married_widowed,none,1,car or other,26,none,own,2,skilled employee,1,none,no,1
25,less than 0,6,existing credits paid back duly till now,furniture,1374,less than 100,1-4 years,1,male-single,none,2,real estate,36,bank,own,1,unskilled,1,"yes, registered under the customer name",yes,1
26,no checking account,6,no credits taken or all credits paid back duly,television,426,less than 100,greater than 7 years,4,male-married_widowed,none,4,car or other,39,none,own,1,unskilled,1,none,yes,1
27,greater than $200,12,all credits at this bank paid back duly,television,409,greater than 1000,1-4 years,3,female-divorced_married_or_single,none,3,real estate,42,none,rent,2,skilled employee,1,none,yes,1
28,0-200,7,existing credits paid back duly till now,television,2415,less than 100,1-4 years,3,male-single,guarantor,2,real estate,34,none,own,1,skilled employee,1,none,yes,1
29,less than 0,60,delay in paying off in the past,business,6836,less than 100,greater than 7 years,3,male-single,none,4,unknown,63,none,own,2,skilled employee,1,"yes, registered under the customer name",yes,2
30,0-200,18,existing credits paid back duly till now,business,1913,greater than 1000,less than 1 year,3,male-married_widowed,none,3,real estate,36,bank,own,1,skilled employee,1,"yes, registered under the customer name",yes,1
31,less than 0,24,existing credits paid back duly till now,furniture,4020,less than 100,1-4 years,2,male-single,none,2,car or other,27,stores,own,1,skilled employee,1,none,yes,1
32,0-200,18,existing credits paid back duly till now,new car,5866,100-500,1-4 years,2,male-single,none,2,car or other,30,none,own,2,skilled employee,1,"yes, registered under the customer name",yes,1
33,no checking account,12,critical account or other credits existing not at this bank,business,1264,unknown or no savings account,greater than 7 years,4,male-single,none,4,unknown,57,none,rent,1,unskilled,1,none,yes,1
34,greater than $200,12,existing credits paid back duly till now,furniture,1474,less than 100,less than 1 year,4,female-divorced_married_or_single,none,1,life insurance,33,bank,own,1,management or self-employed or officer,1,"yes, registered under the customer name",yes,1
35,0-200,45,critical account or other credits existing not at this bank,television,4746,less than 100,less than 1 year,4,male-single,none,2,life insurance,25,none,own,2,unskilled,1,none,yes,2
36,no checking account,48,critical account or other credits existing not at this bank,education,6110,less than 100,1-4 years,1,male-single,none,3,unknown,31,bank,for free,1,skilled employee,1,"yes, registered under the customer name",yes,1
37,greater than $200,18,existing credits paid back duly till now,television,2100,less than 100,1-4 years,4,male-single,co-applicant,2,real estate,37,stores,own,1,skilled employee,1,none,yes,2
38,greater than $200,10,existing credits paid back duly till now,domestic appliances,1225,less than 100,1-4 years,2,male-single,none,2,car or other,37,none,own,1,skilled employee,1,"yes, registered under the customer name",yes,1
39,0-200,9,existing credits paid back duly till now,television,458,less than 100,1-4 years,4,male-single,none,3,real estate,24,none,own,1,skilled employee,1,none,yes,1
40,no checking account,30,existing credits paid back duly till now,television,2333,500-1000,greater than 7 years,4,male-single,none,2,car or other,30,bank,own,1,management or self-employed or officer,1,none,yes,1
41,0-200,12,existing credits paid back duly till now,television,1158,500-1000,1-4 years,3,male-divorced,none,1,car or other,26,none,own,1,skilled employee,1,"yes, registered under the customer name",yes,1
42,0-200,18,delay in paying off in the past,repairs,6204,less than 100,1-4 years,2,male-single,none,4,real estate,44,none,own,1,unskilled,2,"yes, registered under the customer name",yes,1
43,less than 0,30,critical account or other credits existing not at this bank,used car,6187,100-500,4-7 years,1,male-married_widowed,none,4,car or other,24,none,rent,2,skilled employee,1,none,yes,1
44,less than 0,48,critical account or other credits existing not at this bank,used car,6143,less than 100,greater than 7 years,4,female-divorced_married_or_single,none,4,unknown,58,stores,for free,2,unskilled,1,none,yes,2
45,no checking account,11,critical account or other credits existing not at this bank,new car,1393,less than 100,less than 1 year,4,female-divorced_married_or_single,none,4,car or other,35,none,own,2,management or self-employed or officer,1,none,yes,1
46,no checking account,36,existing credits paid back duly till now,television,2299,500-1000,greater than 7 years,4,male-single,none,4,car or other,39,none,own,1,skilled employee,1,none,yes,1
47,less than 0,6,existing credits paid back duly till now,used car,1352,500-1000,unemployed,1,female-divorced_married_or_single,none,2,life insurance,23,none,rent,1,unemployed,1,"yes, registered under the customer name",yes,1
48,no checking account,11,critical account or other credits existing not at this bank,new car,7228,less than 100,1-4 years,1,male-single,none,4,life insurance,39,none,own,2,unskilled,1,none,yes,1
49,no checking account,12,existing credits paid back duly till now,television,2073,100-500,1-4 years,4,female-divorced_married_or_single,co-applicant,2,real estate,28,none,own,1,skilled employee,1,none,yes,1
50,0-200,24,delay in paying off in the past,furniture,2333,unknown or no savings account,less than 1 year,4,male-single,none,2,life insurance,29,bank,own,1,unskilled,1,none,yes,1
51,0-200,27,delay in paying off in the past,used car,5965,less than 100,greater than 7 years,1,male-single,none,2,car or other,30,none,own,2,management or self-employed or officer,1,"yes, registered under the customer name",yes,1
52,no checking account,12,existing credits paid back duly till now,television,1262,less than 100,1-4 years,3,male-single,none,2,car or other,25,none,own,1,skilled employee,1,none,yes,1
53,no checking account,18,existing credits paid back duly till now,used car,3378,unknown or no savings account,1-4 years,2,male-single,none,1,life insurance,31,none,own,1,skilled employee,1,"yes, registered under the customer name",yes,1
54,0-200,36,delay in paying off in the past,new car,2225,less than 100,greater than 7 years,4,male-single,none,4,unknown,57,bank,for free,2,skilled employee,1,"yes, registered under the customer name",yes,2
55,no checking account,6,all credits at this bank paid back duly,new car,783,unknown or no savings account,1-4 years,1,male-single,guarantor,2,real estate,26,stores,own,1,unskilled,2,none,yes,1
56,0-200,12,existing credits paid back duly till now,television,6468,unknown or no savings account,unemployed,2,male-single,none,1,unknown,52,none,own,1,management or self-employed or officer,1,"yes, registered under the customer name",yes,2
57,no checking account,36,critical account or other credits existing not at this bank,television,9566,less than 100,1-4 years,2,female-divorced_married_or_single,none,2,car or other,31,stores,own,2,skilled employee,1,none,yes,1
58,greater than $200,18,existing credits paid back duly till now,new car,1961,less than 100,greater than 7 years,3,female-divorced_married_or_single,none,2,car or other,23,none,own,1,management or self-employed or officer,1,none,yes,1
59,less than 0,36,critical account or other credits existing not at this bank,furniture,6229,less than 100,less than 1 year,4,female-divorced_married_or_single,co-applicant,4,unknown,23,none,rent,2,unskilled,1,"yes, registered under the customer name",yes,2
60,0-200,9,existing credits paid back duly till now,business,1391,less than 100,1-4 years,2,male-married_widowed,none,1,real estate,27,bank,own,1,skilled employee,1,"yes, registered under the customer name",yes,1
61,0-200,15,critical account or other credits existing not at this bank,television,1537,unknown or no savings account,greater than 7 years,4,male-single,guarantor,4,real estate,50,none,own,2,skilled employee,1,"yes, registered under the customer name",yes,1
62,0-200,36,no credits taken or all credits paid back duly,business,1953,less than 100,greater than 7 years,4,male-single,none,4,unknown,61,none,for free,1,management or self-employed or officer,1,"yes, registered under the customer name",yes,2
63,0-200,48,no credits taken or all credits paid back duly,business,14421,less than 100,1-4 years,2,male-single,none,2,car or other,25,none,own,1,skilled employee,1,"yes, registered under the customer name",yes,2
64,no checking account,24,existing credits paid back duly till now,television,3181,less than 100,less than 1 year,4,female-divorced_married_or_single,none,4,life insurance,26,none,own,1,skilled employee,1,"yes, registered under the customer name",yes,1
65,no checking account,27,existing credits paid back duly till now,repairs,5190,unknown or no savings account,greater than 7 years,4,male-single,none,4,life insurance,48,none,own,4,skilled employee,2,"yes, registered under the customer name",yes,1
66,no checking account,12,existing credits paid back duly till now,television,2171,less than 100,less than 1 year,2,female-divorced_married_or_single,none,2,car or other,29,bank,own,1,skilled employee,1,none,yes,1
67,0-200,12,existing credits paid back duly till now,new car,1007,greater than 1000,1-4 years,4,male-married_widowed,none,1,real estate,22,none,own,1,skilled employee,1,none,yes,1
68,no checking account,36,existing credits paid back duly till now,education,1819,less than 100,1-4 years,4,male-single,none,4,unknown,37,stores,for free,1,skilled employee,1,"yes, registered under the customer name",yes,2
69,no checking account,36,existing credits paid back duly till now,television,2394,unknown or no savings account,1-4 years,4,female-divorced_married_or_single,none,4,car or other,25,none,own,1,skilled employee,1,none,yes,1
70,no checking account,36,existing credits paid back duly till now,used car,8133,less than 100,1-4 years,1,female-divorced_married_or_single,none,2,life insurance,30,bank,own,1,skilled employee,1,none,yes,1
71,no checking account,7,critical account or other credits existing not at this bank,television,730,unknown or no savings account,greater than 7 years,4,male-single,none,2,life insurance,46,none,rent,2,unskilled,1,"yes, registered under the customer name",yes,1
72,less than 0,8,critical account or other credits existing not at this bank,others,1164,less than 100,greater than 7 years,3,male-single,none,4,unknown,51,bank,for free,2,management or self-employed or officer,2,"yes, registered under the customer name",yes,1
73,0-200,42,critical account or other credits existing not at this bank,business,5954,less than 100,4-7 years,2,female-divorced_married_or_single,none,1,real estate,41,bank,own,2,unskilled,1,none,yes,1
74,less than 0,36,existing credits paid back duly till now,education,1977,unknown or no savings account,greater than 7 years,4,male-single,none,4,unknown,40,none,own,1,management or self-employed or officer,1,"yes, registered under the customer name",yes,2
75,less than 0,12,critical account or other credits existing not at this bank,used car,1526,less than 100,greater than 7 years,4,male-single,none,4,unknown,66,none,for free,2,management or self-employed or officer,1,none,yes,1
76,less than 0,42,existing credits paid back duly till now,television,3965,less than 100,less than 1 year,4,male-single,none,3,car or other,34,none,own,1,skilled employee,1,none,yes,2
77,0-200,11,delay in paying off in the past,television,4771,less than 100,4-7 years,2,male-single,none,4,life insurance,51,none,own,1,skilled employee,1,none,yes,1
78,no checking account,54,no credits taken or all credits paid back duly,used car,9436,unknown or no savings account,1-4 years,2,male-single,none,2,life insurance,39,none,own,1,unskilled,2,none,yes,1
79,0-200,30,existing credits paid back duly till now,furniture,3832,less than 100,less than 1 year,2,male-married_widowed,none,1,life insurance,22,none,own,1,skilled employee,1,none,yes,1
80,no checking account,24,existing credits paid back duly till now,television,5943,unknown or no savings account,less than 1 year,1,female-divorced_married_or_single,none,1,car or other,44,none,own,2,skilled employee,1,"yes, registered under the customer name",yes,2
81,no checking account,15,existing credits paid back duly till now,television,1213,500-1000,greater than 7 years,4,male-single,none,3,life insurance,47,stores,own,1,skilled employee,1,"yes, registered under the customer name",yes,1
82,no checking account,18,existing credits paid back duly till now,business,1568,100-500,1-4 years,3,female-divorced_married_or_single,none,4,life insurance,24,none,rent,1,unskilled,1,none,yes,1
83,less than 0,24,existing credits paid back duly till now,others,1755,less than 100,greater than 7 years,4,female-divorced_married_or_single,guarantor,4,real estate,58,none,own,1,unskilled,1,"yes, registered under the customer name",yes,1
84,less than 0,10,existing credits paid back duly till now,television,2315,less than 100,greater than 7 years,3,male-single,none,4,real estate,52,none,own,1,unskilled,1,none,yes,1
85,no checking account,12,critical account or other credits existing not at this bank,business,1412,less than 100,1-4 years,4,female-divorced_married_or_single,guarantor,2,real estate,29,none,own,2,management or self-employed or officer,1,"yes, registered under the customer name",yes,1
86,0-200,18,critical account or other credits existing not at this bank,furniture,1295,less than 100,less than 1 year,4,female-divorced_married_or_single,none,1,life insurance,27,none,own,2,skilled employee,1,none,yes,1
87,0-200,36,existing credits paid back duly till now,education,12612,100-500,1-4 years,1,male-single,none,4,unknown,47,none,for free,1,skilled employee,2,"yes, registered under the customer name",yes,2
88,less than 0,18,existing credits paid back duly till now,new car,2249,100-500,4-7 years,4,male-single,none,3,car or other,30,none,own,1,management or self-employed or officer,2,"yes, registered under the customer name",yes,1
89,less than 0,12,no credits taken or all credits paid back duly,repairs,1108,less than 100,4-7 years,4,male-single,none,3,real estate,28,none,own,2,skilled employee,1,none,yes,2
90,no checking account,12,critical account or other credits existing not at this bank,television,618,less than 100,greater than 7 years,4,male-single,none,4,real estate,56,none,own,1,skilled employee,1,none,yes,1
91,less than 0,12,critical account or other credits existing not at this bank,used car,1409,less than 100,greater than 7 years,4,male-single,none,3,real estate,54,none,own,1,skilled employee,1,none,yes,1
92,no checking account,12,critical account or other credits existing not at this bank,television,797,unknown or no savings account,greater than 7 years,4,female-divorced_married_or_single,none,3,life insurance,33,bank,own,1,unskilled,2,none,yes,2
93,greater than $200,24,critical account or other credits existing not at this bank,furniture,3617,unknown or no savings account,greater than 7 years,4,male-single,co-applicant,4,unknown,20,none,rent,2,skilled employee,1,none,yes,1
94,0-200,12,existing credits paid back duly till now,new car,1318,greater than 1000,greater than 7 years,4,male-single,none,4,real estate,54,none,own,1,skilled employee,1,"yes, registered under the customer name",yes,1
95,0-200,54,no credits taken or all credits paid back duly,business,15945,less than 100,less than 1 year,3,male-single,none,4,unknown,58,none,rent,1,skilled employee,1,"yes, registered under the customer name",yes,2
96,no checking account,12,critical account or other credits existing not at this bank,education,2012,unknown or no savings account,4-7 years,4,female-divorced_married_or_single,none,2,car or other,61,none,own,1,skilled employee,1,none,yes,1
97,0-200,18,existing credits paid back duly till now,business,2622,100-500,1-4 years,4,male-single,none,4,car or other,34,none,own,1,skilled employee,1,none,yes,1
98,0-200,36,critical account or other credits existing not at this bank,television,2337,less than 100,greater than 7 years,4,male-single,none,4,real estate,36,none,own,1,skilled employee,1,none,yes,1
99,0-200,20,delay in paying off in the past,used car,7057,unknown or no savings account,4-7 years,3,male-single,none,4,life insurance,36,bank,rent,2,management or self-employed or officer,2,"yes, registered under the customer name",yes,1
100,no checking account,24,existing credits paid back duly till now,new car,1469,100-500,greater than 7 years,4,male-married_widowed,none,4,real estate,41,none,rent,1,unskilled,1,none,yes,1
101,0-200,36,existing credits paid back duly till now,television,2323,less than 100,4-7 years,4,male-single,none,4,car or other,24,none,rent,1,skilled employee,1,none,yes,1
102,no checking account,6,delay in paying off in the past,television,932,less than 100,1-4 years,3,female-divorced_married_or_single,none,2,real estate,24,none,own,1,skilled employee,1,none,yes,1
103,0-200,9,critical account or other credits existing not at this bank,furniture,1919,less than 100,4-7 years,4,male-single,none,3,car or other,35,none,rent,1,skilled employee,1,"yes, registered under the customer name",yes,1
104,no checking account,12,existing credits paid back duly till now,used car,2445,unknown or no savings account,less than 1 year,2,male-married_widowed,none,4,car or other,26,none,rent,1,skilled employee,1,"yes, registered under the customer name",yes,1
105,0-200,24,critical account or other credits existing not at this bank,others,11938,less than 100,1-4 years,2,male-single,co-applicant,3,car or other,39,none,own,2,management or self-employed or officer,2,"yes, registered under the customer name",yes,2
106,no checking account,18,all credits at this bank paid back duly,new car,6458,less than 100,greater than 7 years,2,male-single,none,4,unknown,39,bank,own,2,management or self-employed or officer,2,"yes, registered under the customer name",yes,2
107,0-200,12,existing credits paid back duly till now,new car,6078,less than 100,4-7 years,2,male-single,none,2,car or other,32,none,own,1,skilled employee,1,none,yes,1
108,less than 0,24,existing credits paid back duly till now,furniture,7721,unknown or no savings account,less than 1 year,1,female-divorced_married_or_single,none,2,life insurance,30,none,own,1,skilled employee,1,"yes, registered under the customer name",no,1
109,0-200,14,existing credits paid back duly till now,business,1410,500-1000,greater than 7 years,1,male-married_widowed,none,2,real estate,35,none,own,1,skilled employee,1,"yes, registered under the customer name",yes,1
110,0-200,6,delay in paying off in the past,business,1449,100-500,greater than 7 years,1,male-divorced,none,2,car or other,31,bank,own,2,skilled employee,2,none,yes,1
111,greater than $200,15,existing credits paid back duly till now,education,392,less than 100,less than 1 year,4,female-divorced_married_or_single,none,4,life insurance,23,none,rent,1,skilled employee,1,"yes, registered under the customer name",yes,1
112,0-200,18,existing credits paid back duly till now,new car,6260,less than 100,4-7 years,3,male-single,none,3,real estate,28,none,rent,1,unskilled,1,none,yes,1
113,no checking account,36,critical account or other credits existing not at this bank,new car,7855,less than 100,1-4 years,4,female-divorced_married_or_single,none,2,real estate,25,stores,own,2,skilled employee,1,"yes, registered under the customer name",yes,2
114,less than 0,12,existing credits paid back duly till now,television,1680,500-1000,greater than 7 years,3,male-married_widowed,none,1,real estate,35,none,own,1,skilled employee,1,none,yes,1
115,no checking account,48,critical account or other credits existing not at this bank,television,3578,unknown or no savings account,greater than 7 years,4,male-single,none,1,real estate,47,none,own,1,skilled employee,1,"yes, registered under the customer name",yes,1
116,less than 0,42,existing credits paid back duly till now,television,7174,unknown or no savings account,4-7 years,4,female-divorced_married_or_single,none,3,car or other,30,none,own,1,management or self-employed or officer,1,"yes, registered under the customer name",yes,2
117,less than 0,10,critical account or other credits existing not at this bank,furniture,2132,unknown or no savings account,less than 1 year,2,female-divorced_married_or_single,co-applicant,3,real estate,27,none,rent,2,skilled employee,1,none,no,1
118,less than 0,33,critical account or other credits existing not at this bank,furniture,4281,500-1000,1-4 years,1,female-divorced_married_or_single,none,4,car or other,23,none,own,2,skilled employee,1,none,yes,2
119,0-200,12,critical account or other credits existing not at this bank,new car,2366,500-1000,4-7 years,3,male-divorced,none,3,car or other,36,none,own,1,management or self-employed or officer,1,"yes, registered under the customer name",yes,1
120,less than 0,21,existing credits paid back duly till now,television,1835,less than 100,1-4 years,3,female-divorced_married_or_single,none,2,real estate,25,none,own,2,skilled employee,1,"yes, registered under the customer name",yes,2
121,no checking account,24,critical account or other credits existing not at this bank,used car,3868,less than 100,greater than 7 years,4,female-divorced_married_or_single,none,2,car or other,41,none,rent,2,management or self-employed or officer,1,"yes, registered under the customer name",yes,1
122,no checking account,12,existing credits paid back duly till now,furniture,1768,less than 100,1-4 years,3,male-single,none,2,real estate,24,none,rent,1,unskilled,1,none,yes,1
123,greater than $200,10,critical account or other credits existing not at this bank,new car,781,less than 100,greater than 7 years,4,male-single,none,4,unknown,63,none,for free,2,skilled employee,1,"yes, registered under the customer name",yes,1
124,0-200,18,existing credits paid back duly till now,furniture,1924,unknown or no savings account,less than 1 year,4,female-divorced_married_or_single,none,3,real estate,27,none,rent,1,skilled employee,1,none,yes,2
125,less than 0,12,critical account or other credits existing not at this bank,new car,2121,less than 100,1-4 years,4,male-single,none,2,life insurance,30,none,own,2,skilled employee,1,none,yes,1
126,less than 0,12,existing credits paid back duly till now,television,701,less than 100,1-4 years,4,male-married_widowed,none,2,real estate,40,none,own,1,unskilled,1,none,yes,1
127,0-200,12,existing credits paid back duly till now,repairs,639,less than 100,1-4 years,4,male-single,none,2,car or other,30,none,own,1,skilled employee,1,none,yes,2
128,0-200,12,critical account or other credits existing not at this bank,used car,1860,less than 100,unemployed,4,male-single,none,2,car or other,34,none,own,2,management or self-employed or officer,1,"yes, registered under the customer name",yes,1
129,less than 0,12,critical account or other credits existing not at this bank,new car,3499,less than 100,1-4 years,3,female-divorced_married_or_single,co-applicant,2,real estate,29,none,own,2,skilled employee,1,none,yes,2
130,0-200,48,existing credits paid back duly till now,new car,8487,unknown or no savings account,4-7 years,1,female-divorced_married_or_single,none,2,car or other,24,none,own,1,skilled employee,1,none,yes,1
131,less than 0,36,delay in paying off in the past,education,6887,less than 100,1-4 years,4,male-single,none,3,life insurance,29,stores,own,1,skilled employee,1,"yes, registered under the customer name",yes,2
132,no checking account,15,existing credits paid back duly till now,furniture,2708,less than 100,less than 1 year,2,male-single,none,3,life insurance,27,bank,own,2,unskilled,1,none,yes,1
133,no checking account,18,existing credits paid back duly till now,furniture,1984,less than 100,1-4 years,4,male-single,none,4,unknown,47,bank,for free,2,skilled employee,1,none,yes,1
134,no checking account,60,existing credits paid back duly till now,television,10144,100-500,4-7 years,2,female-divorced_married_or_single,none,4,real estate,21,none,own,1,skilled employee,1,"yes, registered under the customer name",yes,1
135,no checking account,12,critical account or other credits existing not at this bank,television,1240,unknown or no savings account,greater than 7 years,4,female-divorced_married_or_single,none,2,real estate,38,none,own,2,skilled employee,1,"yes, registered under the customer name",yes,1
136,no checking account,27,delay in paying off in the past,used car,8613,greater than 1000,1-4 years,2,male-single,none,2,car or other,27,none,own,2,skilled employee,1,none,yes,1
137,0-200,12,existing credits paid back duly till now,television,766,500-1000,1-4 years,4,male-single,none,3,real estate,66,none,own,1,unskilled,1,none,yes,2
138,0-200,15,critical account or other credits existing not at this bank,television,2728,unknown or no savings account,4-7 years,4,male-single,guarantor,2,real estate,35,bank,own,3,skilled employee,1,"yes, registered under the customer name",yes,1
139,greater than $200,12,existing credits paid back duly till now,television,1881,less than 100,1-4 years,2,female-divorced_married_or_single,none,2,car or other,44,none,rent,1,unskilled,1,"yes, registered under the customer name",yes,1
140,greater than $200,6,existing credits paid back duly till now,new car,709,greater than 1000,less than 1 year,2,male-married_widowed,none,2,real estate,27,none,own,1,unemployed,1,none,no,1
141,0-200,36,existing credits paid back duly till now,television,4795,less than 100,less than 1 year,4,female-divorced_married_or_single,none,1,unknown,30,none,own,1,management or self-employed or officer,1,"yes, registered under the customer name",yes,1
142,less than 0,27,existing credits paid back duly till now,television,3416,less than 100,1-4 years,3,male-single,none,2,car or other,27,none,own,1,management or self-employed or officer,1,none,yes,1
143,less than 0,18,existing credits paid back duly till now,furniture,2462,less than 100,1-4 years,2,male-single,none,2,car or other,22,none,own,1,skilled employee,1,none,yes,2
144,no checking account,21,critical account or other credits existing not at this bank,furniture,2288,less than 100,less than 1 year,4,female-divorced_married_or_single,none,4,life insurance,23,none,own,1,skilled employee,1,"yes, registered under the customer name",yes,1
145,0-200,48,all credits at this bank paid back duly,business,3566,100-500,4-7 years,4,male-single,none,2,car or other,30,none,own,1,skilled employee,1,none,yes,1
146,less than 0,6,critical account or other credits existing not at this bank,new car,860,less than 100,greater than 7 years,1,female-divorced_married_or_single,none,4,unknown,39,none,own,2,skilled employee,1,"yes, registered under the customer name",yes,1
147,no checking account,12,critical account or other credits existing not at this bank,new car,682,100-500,4-7 years,4,female-divorced_married_or_single,none,3,car or other,51,none,own,2,skilled employee,1,"yes, registered under the customer name",yes,1
148,less than 0,36,critical account or other credits existing not at this bank,furniture,5371,less than 100,1-4 years,3,male-single,guarantor,2,life insurance,28,none,own,2,skilled employee,1,none,yes,1
149,no checking account,18,critical account or other credits existing not at this bank,television,1582,greater than 1000,greater than 7 years,4,male-single,none,4,car or other,46,none,own,2,skilled employee,1,none,yes,1
150,no checking account,6,existing credits paid back duly till now,television,1346,100-500,greater than 7 years,2,male-single,none,4,unknown,42,bank,for free,1,skilled employee,2,"yes, registered under the customer name",yes,1
151,no checking account,10,existing credits paid back duly till now,television,1924,less than 100,1-4 years,1,male-single,none,4,life insurance,38,none,own,1,skilled employee,1,"yes, registered under the customer name",no,1
152,greater than $200,36,existing credits paid back duly till now,television,5848,less than 100,1-4 years,4,male-single,none,1,car or other,24,none,own,1,skilled employee,1,none,yes,1
153,0-200,24,critical account or other credits existing not at this bank,used car,7758,greater than 1000,greater than 7 years,2,female-divorced_married_or_single,none,4,unknown,29,none,rent,1,skilled employee,1,none,yes,1
154,0-200,24,delay in paying off in the past,business,6967,100-500,4-7 years,4,male-single,none,4,car or other,36,none,rent,1,management or self-employed or officer,1,"yes, registered under the customer name",yes,1
155,less than 0,12,existing credits paid back duly till now,furniture,1282,less than 100,1-4 years,2,female-divorced_married_or_single,none,4,car or other,20,none,rent,1,skilled employee,1,none,yes,2
156,less than 0,9,critical account or other credits existing not at this bank,repairs,1288,100-500,greater than 7 years,3,male-single,guarantor,4,real estate,48,none,own,2,skilled employee,2,none,no,1
157,less than 0,12,all credits at this bank paid back duly,retraining,339,less than 100,greater than 7 years,4,male-married_widowed,none,1,car or other,45,bank,own,1,unskilled,1,none,yes,1
158,0-200,24,existing credits paid back duly till now,new car,3512,100-500,4-7 years,2,male-single,none,3,car or other,38,bank,own,2,skilled employee,1,"yes, registered under the customer name",yes,1
